,CLIENT_ID,ins_x,symbol,exp,strk,opt,StockName,NetQty,ClPrice,ClAmt,Exposure_Mrg,Span_Mrg,Total_Margin,%_Margin,Token,ins_y,strk1_x,ins,strk1_y,close
5116,80030,OPTIDX,BANKNIFTY,20221117,41000.00,PE,IO PE BANKNIFTY 17Nov22 41000.0000,-800,42579.9,34063920,681278.4,0.0,681278.4,2.0,46785,OPTIDX,41000.0,OPTIDX,41000.0,0.0
5117,80030,OPTIDX,BANKNIFTY,20221117,41500.00,PE,IO PE BANKNIFTY 17Nov22 41500.0000,200,42579.9,8515980,0.0,0.0,0.0,0.0,46795,OPTIDX,41500.0,OPTIDX,41500.0,0.0
5118,80030,OPTIDX,NIFTY,20221117,18500.00,CE,IO CE NIFTY 17Nov22 18500.0000,200,18451.85,3690370,0.0,291238.0,291238.0,7.89,55170,OPTIDX,18500.0,OPTIDX,18500.0,228.05
5119,80030,OPTIDX,NIFTY,20221117,18600.00,CE,IO CE NIFTY 17Nov22 18600.0000,-400,18451.85,7380740,147614.8,0.0,147614.8,2.0,55182,OPTIDX,18600.0,OPTIDX,18600.0,204.75
5120,80036,OPTIDX,BANKNIFTY,20221117,40800.00,PE,IO PE BANKNIFTY 17Nov22 40800.0000,-1050,42579.9,44708895,894177.9,7376098.0,8270275.9,18.5,46781,OPTIDX,40800.0,OPTIDX,40800.0,0.0
5121,80036,OPTIDX,BANKNIFTY,20221117,41000.00,PE,IO PE BANKNIFTY 17Nov22 41000.0000,-2250,42579.9,95804775,1916095.5,0.0,1916095.5,2.0,46785,OPTIDX,41000.0,OPTIDX,41000.0,0.0
5122,80036,OPTIDX,BANKNIFTY,20221117,41300.00,PE,IO PE BANKNIFTY 17Nov22 41300.0000,350,42579.9,14902965,0.0,0.0,0.0,0.0,46791,OPTIDX,41300.0,OPTIDX,41300.0,0.0
5123,80036,OPTIDX,BANKNIFTY,20221117,41500.00,PE,IO PE BANKNIFTY 17Nov22 41500.0000,750,42579.9,31934925,0.0,0.0,0.0,0.0,46795,OPTIDX,41500.0,OPTIDX,41500.0,0.0
5124,80037,OPTIDX,NIFTY,20221117,18550.00,CE,IO CE NIFTY 17Nov22 18550.0000,-17700,18451.85,326597745,6531954.9,0.0,6531954.9,2.0,55172,OPTIDX,18550.0,OPTIDX,18550.0,216.55
5125,80037,OPTIDX,NIFTY,20221117,18900.00,CE,IO CE NIFTY 17Nov22 18900.0000,14400,18451.85,265706640,0.0,0.0,0.0,0.0,55348,OPTIDX,18900.0,OPTIDX,18900.0,147.45
5126,80037,OPTIDX,NIFTY,20221117,17850.00,PE,IO PE NIFTY 17Nov22 17850.0000,14400,18451.85,265706640,0.0,10174338.0,10174338.0,3.83,55019,OPTIDX,17850.0,OPTIDX,17850.0,789.05
5127,80037,OPTIDX,NIFTY,20221117,18200.00,PE,IO PE NIFTY 17Nov22 18200.0000,-16200,18451.85,298919970,5978399.4,0.0,5978399.4,2.0,55077,OPTIDX,18200.0,OPTIDX,18200.0,1016.55
5128,80037,OPTIDX,NIFTY,20221117,18250.00,PE,IO PE NIFTY 17Nov22 18250.0000,-1600,18451.85,29522960,590459.2,0.0,590459.2,2.0,55082,OPTIDX,18250.0,OPTIDX,18250.0,1051.4
5129,80041,OPTIDX,BANKNIFTY,20221117,42200.00,PE,IO PE BANKNIFTY 17Nov22 42200.0000,75,42579.9,3193493,0.0,40023.0,40023.0,1.25,46826,OPTIDX,42200.0,OPTIDX,42200.0,0.0
5130,80041,OPTIDX,BANKNIFTY,20221124,42200.00,PE,IO PE BANKNIFTY 24Nov22 42200.0000,-75,42579.9,3193493,63869.86,0.0,63869.86,2.0,60772,OPTIDX,42200.0,OPTIDX,42200.0,3214.5
5131,80042,OPTIDX,BANKNIFTY,20221117,40000.00,PE,IO PE BANKNIFTY 17Nov22 40000.0000,-2800,42579.9,119223720,2384474.4,6483337.0,8867811.4,7.44,46756,OPTIDX,40000.0,OPTIDX,40000.0,0.0
5132,80042,OPTIDX,BANKNIFTY,20221117,40600.00,PE,IO PE BANKNIFTY 17Nov22 40600.0000,-400,42579.9,17031960,340639.2,0.0,340639.2,2.0,46777,OPTIDX,40600.0,OPTIDX,40600.0,0.0
5133,80042,OPTIDX,BANKNIFTY,20221117,40700.00,PE,IO PE BANKNIFTY 17Nov22 40700.0000,500,42579.9,21289950,0.0,0.0,0.0,0.0,46779,OPTIDX,40700.0,OPTIDX,40700.0,0.0
5134,80042,OPTIDX,BANKNIFTY,20221117,40800.00,PE,IO PE BANKNIFTY 17Nov22 40800.0000,200,42579.9,8515980,0.0,0.0,0.0,0.0,46781,OPTIDX,40800.0,OPTIDX,40800.0,0.0
5135,80042,OPTIDX,BANKNIFTY,20221117,41000.00,PE,IO PE BANKNIFTY 17Nov22 41000.0000,100,42579.9,4257990,0.0,0.0,0.0,0.0,46785,OPTIDX,41000.0,OPTIDX,41000.0,0.0
5136,80043,OPTIDX,NIFTY,20221229,16900.00,PE,IO PE NIFTY 29Dec22 16900.0000,1000,18539.55,18539550,0.0,0.0,0.0,0.0,86361,OPTIDX,16900.0,OPTIDX,16900.0,0.0
5137,80045,OPTIDX,BANKNIFTY,20221124,43500.00,CE,IO CE BANKNIFTY 24Nov22 43500.0000,-600,42579.9,25547940,510958.8,0.0,510958.8,2.0,60819,OPTIDX,43500.0,OPTIDX,43500.0,336.25
5138,80045,OPTIDX,BANKNIFTY,20221124,43600.00,CE,IO CE BANKNIFTY 24Nov22 43600.0000,-600,42579.9,25547940,510958.8,0.0,510958.8,2.0,42826,OPTIDX,43600.0,OPTIDX,43600.0,0.0
5139,80045,OPTIDX,BANKNIFTY,20221124,43700.00,CE,IO CE BANKNIFTY 24Nov22 43700.0000,-600,42579.9,25547940,510958.8,0.0,510958.8,2.0,42828,OPTIDX,43700.0,OPTIDX,43700.0,0.0
5140,80045,OPTIDX,BANKNIFTY,20221124,40500.00,PE,IO PE BANKNIFTY 24Nov22 40500.0000,-800,42579.9,34063920,681278.4,13404000.0,14085278.4,41.35,60696,OPTIDX,40500.0,OPTIDX,40500.0,1790.8
5141,80045,OPTIDX,BANKNIFTY,20221124,40600.00,PE,IO PE BANKNIFTY 24Nov22 40600.0000,-800,42579.9,34063920,681278.4,0.0,681278.4,2.0,60698,OPTIDX,40600.0,OPTIDX,40600.0,2199.45
5142,80045,OPTIDX,BANKNIFTY,20221124,40700.00,PE,IO PE BANKNIFTY 24Nov22 40700.0000,-800,42579.9,34063920,681278.4,0.0,681278.4,2.0,60700,OPTIDX,40700.0,OPTIDX,40700.0,2257.05
5143,80045,OPTIDX,BANKNIFTY,20221124,40800.00,PE,IO PE BANKNIFTY 24Nov22 40800.0000,-800,42579.9,34063920,681278.4,0.0,681278.4,2.0,60702,OPTIDX,40800.0,OPTIDX,40800.0,2315.45
5144,80045,OPTIDX,BANKNIFTY,20221124,40900.00,PE,IO PE BANKNIFTY 24Nov22 40900.0000,-800,42579.9,34063920,681278.4,0.0,681278.4,2.0,60711,OPTIDX,40900.0,OPTIDX,40900.0,2374.65
5145,80045,OPTIDX,BANKNIFTY,20221124,41100.00,PE,IO PE BANKNIFTY 24Nov22 41100.0000,-800,42579.9,34063920,681278.4,0.0,681278.4,2.0,60715,OPTIDX,41100.0,OPTIDX,41100.0,2495.5
5146,80045,OPTIDX,BANKNIFTY,20221124,41800.00,PE,IO PE BANKNIFTY 24Nov22 41800.0000,600,42579.9,25547940,0.0,0.0,0.0,0.0,60746,OPTIDX,41800.0,OPTIDX,41800.0,2942.7
5147,80051,OPTIDX,NIFTY,20221124,19000.00,CE,IO CE NIFTY 24Nov22 19000.0000,-1800,18451.85,33213330,664266.6,0.0,664266.6,2.0,61448,OPTIDX,19000.0,OPTIDX,19000.0,84.75
5148,80051,OPTIDX,NIFTY,20221124,17500.00,PE,IO PE NIFTY 24Nov22 17500.0000,-1800,18451.85,33213330,664266.6,2051514.0,2715780.6,8.18,61338,OPTIDX,17500.0,OPTIDX,17500.0,568.35
5149,80057,OPTIDX,BANKNIFTY,20221117,41200.00,PE,IO PE BANKNIFTY 17Nov22 41200.0000,-1200,42579.9,51095880,1021917.6,4154868.0,5176785.6,10.13,46789,OPTIDX,41200.0,OPTIDX,41200.0,0.0
5150,80057,OPTIDX,BANKNIFTY,20221117,42200.00,PE,IO PE BANKNIFTY 17Nov22 42200.0000,100,42579.9,4257990,0.0,0.0,0.0,0.0,46826,OPTIDX,42200.0,OPTIDX,42200.0,0.0
5151,80060,FUTSTK,BAJFINANCE,20221124, , ,EF BAJFINANCE 24Nov22,-125,6912.0,864000,30240.0,162791.25,193031.25,22.34,53421,FUTSTK,0.0,FUTSTK,0.0,7579.1
5152,80060,FUTIDX,BANKNIFTY,20221124, , ,IF BANKNIFTY 24Nov22,550,42579.9,23418945,468378.9,1287393.9,1755772.8,7.5,53394,FUTIDX,0.0,FUTIDX,0.0,39983.2
5153,80060,OPTIDX,BANKNIFTY,20221117,42500.00,CE,IO CE BANKNIFTY 17Nov22 42500.0000,-50,42579.9,2128995,42579.9,0.0,42579.9,2.0,46836,OPTIDX,42500.0,OPTIDX,42500.0,0.0
5154,80060,OPTIDX,BANKNIFTY,20221117,42100.00,PE,IO PE BANKNIFTY 17Nov22 42100.0000,-1000,42579.9,42579900,851598.0,0.0,851598.0,2.0,46824,OPTIDX,42100.0,OPTIDX,42100.0,0.0
5155,80060,OPTIDX,BANKNIFTY,20221117,42300.00,PE,IO PE BANKNIFTY 17Nov22 42300.0000,800,42579.9,34063920,0.0,0.0,0.0,0.0,46832,OPTIDX,42300.0,OPTIDX,42300.0,0.0
5156,80060,OPTIDX,BANKNIFTY,20221117,42500.00,PE,IO PE BANKNIFTY 17Nov22 42500.0000,500,42579.9,21289950,0.0,0.0,0.0,0.0,46837,OPTIDX,42500.0,OPTIDX,42500.0,0.0
5157,80060,FUTSTK,BATAINDIA,20221124, , ,EF BATAINDIA 24Nov22,825,1706.35,1407739,49270.87,214318.5,263589.37,18.72,53427,FUTSTK,0.0,FUTSTK,0.0,1873.4
5158,80060,FUTSTK,BEL,20221229, , ,EF BEL 29Dec22,5700,109.35,623295,21815.33,113886.0,135701.33,21.77,63881,FUTSTK,0.0,FUTSTK,0.0,0.0
5159,80060,OPTSTK,HAL,20221124,2400.00,CE,EO CE HAL 24Nov22 2400.0000,1425,2671.8,3807315,0.0,16017.0,16017.0,0.42,78038,OPTSTK,2400.0,OPTSTK,2400.0,202.35
5160,80060,OPTSTK,HAL,20221124,2600.00,CE,EO CE HAL 24Nov22 2600.0000,-2375,2671.8,6345525,222093.38,0.0,222093.38,3.5,78067,OPTSTK,2600.0,OPTSTK,2600.0,116.55
5161,80060,OPTSTK,HAL,20221229,2700.00,CE,EO CE HAL 29Dec22 2700.0000,950,2687.5,2553125,0.0,0.0,0.0,0.0,129796,OPTSTK,2700.0,OPTSTK,2700.0,0.0
5162,80060,FUTSTK,HINDUNILVR,20221124, , ,EF HINDUNILVR 24Nov22,300,2488.85,746655,26132.93,105933.0,132065.93,17.69,53535,FUTSTK,0.0,FUTSTK,0.0,2691.75
5163,80060,FUTSTK,ICICIBANK,20221229, , ,EF ICICIBANK 29Dec22,1375,921.75,1267406,44359.21,703725.0,748084.21,59.02,64019,FUTSTK,0.0,FUTSTK,0.0,0.0
5164,80060,OPTSTK,ICICIBANK,20221124,900.00,CE,EO CE ICICIBANK 24Nov22 900.0000,4125,916.35,3779944,0.0,0.0,0.0,0.0,83954,OPTSTK,900.0,OPTSTK,900.0,46.65
5165,80060,OPTSTK,ICICIBANK,20221124,940.00,CE,EO CE ICICIBANK 24Nov22 940.0000,-13750,916.35,12599813,440993.46,0.0,440993.46,3.5,83962,OPTSTK,940.0,OPTSTK,940.0,31.4
5166,80060,FUTSTK,IRCTC,20221124, , ,EF IRCTC 24Nov22,875,726.7,635863,44510.41,142651.25,187161.66,29.43,53642,FUTSTK,0.0,FUTSTK,0.0,666.0
5167,80060,FUTSTK,KOTAKBANK,20221229, , ,EF KOTAKBANK 29Dec22,400,1980.65,792260,27729.1,117092.0,144821.1,18.28,68639,FUTSTK,0.0,FUTSTK,0.0,0.0
5168,80060,FUTSTK,L&TFH,20221124, , ,EF L&TFH 24Nov22,8924,82.95,740246,38862.92,163755.4,202618.32,27.37,53662,FUTSTK,0.0,FUTSTK,0.0,76.6
5169,80060,FUTSTK,LTI,20221124, , ,EF LTI 24Nov22,300,5056.75,1517025,53095.88,304914.0,358009.88,23.6,53700,FUTSTK,0.0,FUTSTK,0.0,4461.05
5170,80060,OPTSTK,LTI,20221124,5400.00,CE,EO CE LTI 24Nov22 5400.0000,-450,5056.75,2275538,79643.83,0.0,79643.83,3.5,103382,OPTSTK,5400.0,OPTSTK,5400.0,77.4
5171,80060,FUTSTK,LTTS,20221229, , ,EF LTTS 29Dec22,400,3714.85,1485940,52007.9,323452.0,375459.9,25.27,68654,FUTSTK,0.0,FUTSTK,0.0,0.0
5172,80060,FUTIDX,NIFTY,20221124, , ,IF NIFTY 24Nov22,50,18451.85,922593,18451.86,234771.5,253223.36,27.45,53395,FUTIDX,0.0,FUTIDX,0.0,17459.75
5173,80060,OPTIDX,NIFTY,20221117,18000.00,PE,IO PE NIFTY 17Nov22 18000.0000,1000,18451.85,18451850,0.0,0.0,0.0,0.0,55036,OPTIDX,18000.0,OPTIDX,18000.0,882.95
5174,80060,OPTIDX,NIFTY,20221117,18250.00,PE,IO PE NIFTY 17Nov22 18250.0000,-2000,18451.85,36903700,738074.0,0.0,738074.0,2.0,55082,OPTIDX,18250.0,OPTIDX,18250.0,1051.4
5175,80060,OPTIDX,NIFTY,20221117,18350.00,PE,IO PE NIFTY 17Nov22 18350.0000,1000,18451.85,18451850,0.0,0.0,0.0,0.0,55125,OPTIDX,18350.0,OPTIDX,18350.0,1122.7
5176,80060,FUTSTK,RECLTD,20221124, , ,EF RECLTD 24Nov22,8000,100.05,800400,28014.0,238320.0,266334.0,33.28,53895,FUTSTK,0.0,FUTSTK,0.0,101.9
