,CLIENT_ID,ins_x,symbol,exp,strk,opt,StockName,NetQty,ClPrice,ClAmt,Exposure_Mrg,Span_Mrg,Total_Margin,%_Margin,Token,ins_y,strk1,close
1128,30525,OPTSTK,CHAMBLFERT,20230125,325.00,CE,EO CE CHAMBLFERT 25Jan23 325.0000,-1500,309.65,464475,16256.63,0.0,16256.63,3.5,74887,OPTSTK,325.0,4.4
1129,30525,OPTSTK,CHAMBLFERT,20230125,300.00,PE,EO PE CHAMBLFERT 25Jan23 300.0000,1500,309.65,464475,0.0,0.0,0.0,0.0,83667,OPTSTK,300.0,5.3
1130,30525,FUTSTK,NMDC,20230125, , ,EF NMDC 25Jan23,4500,128.85,579825,20293.88,102825.0,123118.88,21.23,53293,FUTSTK,0.0,128.85
1131,30525,OPTSTK,NMDC,20230125,130.00,CE,EO CE NMDC 25Jan23 130.0000,-9000,128.85,1159650,40587.75,0.0,40587.75,3.5,145323,OPTSTK,130.0,2.95
1132,30525,OPTSTK,NMDC,20230125,120.00,PE,EO PE NMDC 25Jan23 120.0000,4500,128.85,579825,0.0,0.0,0.0,0.0,145316,OPTSTK,120.0,0.7
1133,30525,FUTSTK,TITAN,20230125, , ,EF TITAN 25Jan23,375,2447.8,917925,32127.38,73443.75,105571.13,11.5,55293,FUTSTK,0.0,2447.8
1134,30525,OPTSTK,TITAN,20230125,2520.00,CE,EO CE TITAN 25Jan23 2520.0000,-375,2447.8,917925,32127.38,0.0,32127.38,3.5,152197,OPTSTK,2520.0,21.9
1135,30525,OPTSTK,TITAN,20230125,2540.00,CE,EO CE TITAN 25Jan23 2540.0000,-375,2447.8,917925,32127.38,0.0,32127.38,3.5,152199,OPTSTK,2540.0,17.55
1136,30525,OPTSTK,TITAN,20230125,2420.00,PE,EO PE TITAN 25Jan23 2420.0000,375,2447.8,917925,0.0,0.0,0.0,0.0,152188,OPTSTK,2420.0,34.65
1137,30527,FUTSTK,BHEL,20230125, , ,EF BHEL 25Jan23,21000,81.5,1711500,119805.0,364350.0,484155.0,28.29,42637,FUTSTK,0.0,81.5
1138,30527,OPTSTK,BHEL,20230125,82.00,CE,EO CE BHEL 25Jan23 82.0000,-42000,81.5,3423000,239610.0,0.0,239610.0,7.0,81171,OPTSTK,82.0,2.45
1139,30527,OPTSTK,BHEL,20230125,74.00,PE,EO PE BHEL 25Jan23 74.0000,21000,81.5,1711500,0.0,0.0,0.0,0.0,81153,OPTSTK,74.0,0.5
1140,30527,FUTSTK,RECLTD,20230125, , ,EF RECLTD 25Jan23,24000,122.35,2936400,102774.0,446160.0,548934.0,18.69,55269,FUTSTK,0.0,122.35
1141,30527,OPTSTK,RECLTD,20230125,125.00,CE,EO CE RECLTD 25Jan23 125.0000,-56000,122.35,6851600,239806.0,0.0,239806.0,3.5,148325,OPTSTK,125.0,1.65
1142,30528,OPTIDX,BANKNIFTY,20230112,41400.00,PE,IO PE BANKNIFTY 12Jan23 41400.0000,-200,42552.4,8510480,170209.6,369638.0,539847.6,6.34,40694,OPTIDX,41400.0,15.0
1143,30528,OPTIDX,BANKNIFTY,20230112,41700.00,PE,IO PE BANKNIFTY 12Jan23 41700.0000,100,42552.4,4255240,0.0,0.0,0.0,0.0,40706,OPTIDX,41700.0,33.3
1144,30528,FUTSTK,BEL,20230125, , ,EF BEL 25Jan23,17100,100.8,1723680,60328.8,333678.0,394006.8,22.86,38910,FUTSTK,0.0,100.8
1145,30528,OPTSTK,BEL,20230125,102.00,CE,EO CE BEL 25Jan23 102.0000,-39900,100.8,4021920,140767.2,0.0,140767.2,3.5,78854,OPTSTK,102.0,2.15
1146,30528,FUTSTK,PNB,20230125, , ,EF PNB 25Jan23,32000,56.7,1814400,158760.0,443680.0,602440.0,33.2,55262,FUTSTK,0.0,56.7
1147,30528,OPTSTK,PNB,20230125,59.00,CE,EO CE PNB 25Jan23 59.0000,-80000,56.7,4536000,396900.0,0.0,396900.0,8.75,147481,OPTSTK,59.0,1.25
1148,30528,OPTSTK,PNB,20230125,53.00,PE,EO PE PNB 25Jan23 53.0000,16000,56.7,907200,0.0,0.0,0.0,0.0,147470,OPTSTK,53.0,0.75
1149,30529,OPTIDX,BANKNIFTY,20230112,43000.00,CE,IO CE BANKNIFTY 12Jan23 43000.0000,200,42552.4,8510480,0.0,972770.0,972770.0,11.43,40736,OPTIDX,43000.0,11.0
1150,30529,OPTIDX,BANKNIFTY,20230112,43500.00,CE,IO CE BANKNIFTY 12Jan23 43500.0000,-500,42552.4,21276200,425524.0,0.0,425524.0,2.0,40747,OPTIDX,43500.0,4.95
1151,30529,FUTSTK,BHEL,20230125, , ,EF BHEL 25Jan23,31500,81.5,2567250,179707.5,544425.0,724132.5,28.21,42637,FUTSTK,0.0,81.5
1152,30529,OPTSTK,BHEL,20230125,85.00,CE,EO CE BHEL 25Jan23 85.0000,-73500,81.5,5990250,419317.5,0.0,419317.5,7.0,81190,OPTSTK,85.0,1.4
1153,30529,OPTSTK,BHEL,20230125,78.00,PE,EO PE BHEL 25Jan23 78.0000,31500,81.5,2567250,0.0,0.0,0.0,0.0,81161,OPTSTK,78.0,1.3
1154,30529,FUTSTK,PNB,20230125, , ,EF PNB 25Jan23,32000,56.7,1814400,158760.0,517280.0,676040.0,37.26,55262,FUTSTK,0.0,56.7
1155,30529,OPTSTK,PNB,20230125,58.00,CE,EO CE PNB 25Jan23 58.0000,-80000,56.7,4536000,396900.0,0.0,396900.0,8.75,147479,OPTSTK,58.0,1.6
