TerminalID,client_code,User_ID,T_code,T_alias,Branch,GRP,active,NeatID,Name
ASC003, ,ASC001, , , , , , ,
99987, ,99007, , , , , , ,
38053, ,80066, , , , , , ,
395001001045110, ,70002, , , , , , ,
400064001021110, ,80024, , , , , , ,
400064001130110, ,80034, , , , , , ,
38115, ,80027, , , , , , ,
34817, ,80035, , , , , , ,
400007001110110, ,MUM015, , , , , , ,
400064001043110, ,80016, , , , , , ,
37072, ,80001, , , , , , ,
400064001083110, ,80114, , , , , , ,
400064001082110, ,80113, , , , , , ,
400086001007110, ,80096, , , , , , ,
400086001006110, ,80075, , , , , , ,
395001001162110, ,50077, , , , , , ,
395001001015110, ,ASC049, , , , , , ,
400064001084110, ,80013, , , , , , ,
395001001166110, ,50081, , , , , , ,
400064001064110, ,80036, , , , , , ,
400064001065110, ,80024, , , , , , ,
400071001084110, ,80100, , , , , , ,
400064001031110, ,80016, , , , , , ,
400064001037110, ,80034, , , , , , ,
38462, ,80008, , , , , , ,
395001001167110, ,50082, , , , , , ,
395001001163110, ,50076, , , , , , ,
400064001030110, ,80063, , , , , , ,
400064001047110, ,80089, , , , , , ,
400064001039110, ,80036, , , , , , ,
400064001017110, ,80074, , , , , , ,
395001001053110, ,40165, , , , , , ,
400064001026110, ,80031, , , , , , ,
400086001001110, ,80070, , , , , , ,
400064001062110, ,80016, , , , , , ,
37788, ,80028, , , , , , ,
400086001011110, ,80026, , , , , , ,
395001001168110, ,70006, , , , , , ,
400007001087110, ,80012, , , , , , ,
395001001171110, ,50079, , , , , , ,
395001001169110, ,50083, , , , , , ,
395001001170110, ,50084, , , , , , ,
400007001039110, ,MUM016, , , , , , ,
400007001007110, ,80012, , , , , , ,
395001001173110, ,50086, , , , , , ,
37788, ,80028, , , , , , ,
395001001015110, ,ASC049, , , , , , ,
395009001035110, ,40141, , , , , , ,
395001001508110, ,40172, , , , , , ,
400064001034110, ,80007, , , , , , ,
395001001510110, ,40173, , , , , , ,
38904, ,80019, , , , , , ,
395001001007110, ,40011, , , , , , ,
395001001001113, ,40011, , , , , , ,
395001001021113, ,40011, , , , , , ,
395001001001113, ,40011, , , , , , ,
360001001028110, ,ASC049, , , , , , ,
360001001028110, ,ASC049, , , , , , ,
360001001028110, ,ASC049, , , , , , ,
400007001128110, ,80100, , , , , , ,
400071001130110, ,80100, , , , , , ,
400064001067110, ,80012, , , , , , ,
34651, ,80009, , , , , , ,
396445001007110, ,40184, , , , , , ,
395001001175110, ,50087, , , , , , ,
400064001010110, ,80005, , , , , , ,
400064001008110, ,80005, , , , , , ,
395001001180110, ,50088, , , , , , ,
400064001204110, ,80010, , , , , , ,
360001001408110, ,40089A, , , , , , ,
35618, ,80052, , , , , , ,
400064001181110, ,80049, , , , , , ,
400064001022110, ,80118, , , , , , ,
400064001051110, ,80111, , , , , , ,
400001001182110, ,80028, , , , , , ,
400001001182110, ,80028, , , , , , ,
400001001131110, ,80012, , , , , , ,
400064001206110, ,80031, , , , , , ,
39076, ,70007, , , , , , ,
395001001183110, ,50090, , , , , , ,
395001001701000, ,40195, , , , , , ,
400001001149110, ,40196, , , , , , ,
395001001033110, ,80067, , , , , , ,
