TerminalID,client_code,UserID,T_code,T_alias,Branch,GRP,active,NeatID,Name
ASC003, ,ASC001, , , , , , ,
3.95001E+14, ,R5011, , , , , , ,
3.95001E+14, ,R5011, , , , , , ,
4.00064E+14, ,80062, , , , , , ,
99999, ,99001, , , , , , ,
99999, ,99001, , , , , , ,
99998, ,99001A, , , , , , ,
99998, ,99001A, , , , , , ,
3.95009E+14, ,40141, , , , , , ,
99999, ,99004, , , , , , ,
99998, ,99004A, , , , , , ,
37951, ,80004, , , , , , ,
37113, ,80087, , , , , , ,
99985, ,99007A, , , , , , ,
99986, ,99007B, , , , , , ,
99987, ,99007, , , , , , ,
38053, ,80066, , , , , , ,
3.95001E+14, ,70002, , , , , , ,
4.00064E+14, ,80024, , , , , , ,
4.00064E+14, ,80034, , , , , , ,
38115, ,80027, , , , , , ,
34817, ,80035, , , , , , ,
4.00007E+14, ,MUM015, , , , , , ,
4.00064E+14, ,80016, , , , , , ,
37072, ,80001, , , , , , ,
4.00064E+14, ,80114, , , , , , ,
4.00064E+14, ,80113, , , , , , ,
4.00086E+14, ,80096, , , , , , ,
4.00086E+14, ,80075, , , , , , ,
3.95001E+14, ,50077, , , , , , ,
3.95001E+14, ,ASC049, , , , , , ,
4.00064E+14, ,80013, , , , , , ,
3.95001E+14, ,50081, , , , , , ,
4.00064E+14, ,80036, , , , , , ,
4.00064E+14, ,80024, , , , , , ,
4.00071E+14, ,80100, , , , , , ,
4.00064E+14, ,80016, , , , , , ,
4.00064E+14, ,80034, , , , , , ,
38462, ,80008, , , , , , ,
3.95001E+14, ,50082, , , , , , ,
3.95001E+14, ,50076, , , , , , ,
4.00064E+14, ,80063, , , , , , ,
4.00064E+14, ,80089, , , , , , ,
4.00064E+14, ,80036, , , , , , ,
4.00064E+14, ,80074, , , , , , ,
3.95001E+14, ,40165, , , , , , ,
4.00064E+14, ,80031, , , , , , ,
4.00086E+14, ,80070, , , , , , ,
4.00064E+14, ,80016, , , , , , ,
37788, ,80028, , , , , , ,
4.00086E+14, ,80026, , , , , , ,
3.95001E+14, ,70006, , , , , , ,
4.00007E+14, ,80012, , , , , , ,
3.95001E+14, ,50079, , , , , , ,
3.95001E+14, ,50083, , , , , , ,
3.95001E+14, ,50084, , , , , , ,
4.00007E+14, ,MUM016, , , , , , ,
4.00007E+14, ,80012, , , , , , ,
3.95001E+14, ,50086, , , , , , ,
37788, ,80028, , , , , , ,
3.95001E+14, ,ASC049, , , , , , ,
3.95009E+14, ,40141, , , , , , ,
3.95001E+14, ,40172, , , , , , ,
4.00064E+14, ,80007, , , , , , ,
3.95001E+14, ,40173, , , , , , ,
38904, ,80019, , , , , , ,
3.95001E+14, ,40011, , , , , , ,
3.95001E+14, ,40011, , , , , , ,
3.95001E+14, ,40011, , , , , , ,
3.95001E+14, ,40011, , , , , , ,
3.60001E+14, ,ASC049, , , , , , ,
3.60001E+14, ,ASC049, , , , , , ,
3.60001E+14, ,ASC049, , , , , , ,
4.00007E+14, ,80100, , , , , , ,
4.00071E+14, ,80100, , , , , , ,
4.00064E+14, ,80012, , , , , , ,
34651, ,80009, , , , , , ,
3.96445E+14, ,40184, , , , , , ,
3.95001E+14, ,50087, , , , , , ,
4.00064E+14, ,80005, , , , , , ,
4.00064E+14, ,80005, , , , , , ,
