ClientCode,Exchange,Token,instrument,symbol,expiry,strike,c/p,dayQty,dayValue,LTP,MTM,SerialNO,OpenQty,OpenAmt,netQty,NetValue,FUT_MTM,OPT_MTM,NET_PREM,Prem_Margin,
6405,NSEFO,129814,OPTSTK,HAL,20221229,3150.0,CE,0,0.0,10.85,0.0,34,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,129798,OPTSTK,HAL,20221229,2750.0,CE,0,0.0,106.95,0.0,35,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,131430,OPTSTK,HINDUNILVR,20221229,2500.0,PE,0,0.0,24.4,0.0,36,-32700,797880.0,-32700,797880.0,0.0,0.0,-797880.0,0.0,
6405,NSEFO,131813,OPTSTK,IBULHSGFIN,20221229,145.0,CE,-80000,554600.0,5.35,0.0,37,0,0.0,-80000,554600.0,0.0,0.0,-554600.0,554600.0,
6405,NSEFO,132294,OPTSTK,ICICIPRULI,20221229,480.0,CE,0,0.0,7.9,0.0,38,-1500,11850.0,-1500,11850.0,0.0,0.0,-11850.0,0.0,
6405,NSEFO,132698,OPTSTK,IEX,20221229,150.0,CE,-105000,689625.0,7.85,0.0,39,0,0.0,-105000,689625.0,0.0,0.0,-689625.0,689625.0,
6405,NSEFO,133696,OPTSTK,INFY,20221229,1580.0,CE,300,-27300.0,85.45,0.0,40,-300,25635.0,0,-1665.0,0.0,0.0,1665.0,-27300.0,
6405,NSEFO,134270,OPTSTK,IRCTC,20221229,730.0,CE,0,-5031.25,19.65,0.0,41,5250,-103162.49999999999,5250,-108193.75,0.0,0.0,108193.75,-5031.25,
6405,NSEFO,135955,OPTSTK,LT,20221229,2200.0,CE,-300,4815.0,15.25,0.0,42,-300,4575.0,-600,9390.0,0.0,0.0,-9390.0,4815.0,
6405,NSEFO,136165,OPTSTK,LTTS,20221229,4000.0,CE,0,0.0,77.6,0.0,43,200,-15519.999999999998,200,-15519.999999999998,0.0,0.0,15519.999999999998,0.0,
6405,NSEFO,137021,OPTSTK,MARUTI,20221229,10000.0,CE,2100,-60970.0,25.4,0.0,44,-200,5080.0,1900,-55890.0,0.0,0.0,55890.0,-60970.0,
6405,NSEFO,137007,OPTSTK,MARUTI,20221229,9300.0,CE,0,0.0,149.45,0.0,45,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,138085,OPTSTK,MPHASIS,20221229,2000.0,CE,0,0.0,69.95,0.0,46,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,91829,OPTSTK,ADANIPORTS,20221229,820.0,PE,625,-5937.5,9.4,0.0,47,-5000,47000.0,-4375,41062.5,0.0,0.0,-41062.5,-5937.5,
6405,NSEFO,137619,OPTSTK,MFSL,20221229,720.0,CE,-6500,113652.5,7.15,0.0,48,6500,-46475.0,0,67177.5,0.0,0.0,-67177.5,113652.5,
6405,NSEFO,52171,OPTSTK,PNB,20221229,54.0,CE,-128000,339200.0,2.8,0.0,49,-160000,448000.0,-288000,787200.0,0.0,0.0,-787200.0,339200.0,
6405,NSEFO,141107,OPTSTK,POLYCAB,20221229,2600.0,CE,4500,-292305.0,68.75,0.0,50,300,-20625.0,4800,-312930.0,0.0,0.0,312930.0,-292305.0,
6405,NSEFO,141762,OPTSTK,RBLBANK,20221229,145.0,PE,0,0.0,3.85,0.0,51,-10000,38500.0,-10000,38500.0,0.0,0.0,-38500.0,0.0,
6405,NSEFO,141773,OPTSTK,RBLBANK,20221229,160.0,CE,90000,-318250.0,3.65,0.0,52,80000,-292000.0,170000,-610250.0,0.0,0.0,610250.0,-318250.0,
6405,NSEFO,141925,OPTSTK,RECLTD,20221229,120.0,CE,0,0.0,0.75,0.0,53,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
19478,NSEFO,62808,FUTIDX,BANKNIFTY,20221229,0.0, ,0,0.0,43291.85,0.0,54,-125,5411481,-125,5411481,0.0,0.0,0.0,0.0,
19485,NSEFO,64024,FUTSTK,IDEA,20221229,0.0, ,0,0.0,8.2,0.0,55,140000,-1148000.0,140000,-1148000.0,0.0,0.0,0.0,0.0,
19630,NSEFO,63872,FUTSTK,AXISBANK,20221229,0.0, ,0,0.0,893.95,0.0,56,-21600,19309320,-21600,19309320,0.0,0.0,0.0,0.0,
19719,NSEFO,62944,FUTSTK,AMBUJACEM,20221229,0.0, ,0,0.0,570.35,0.0,57,1800,-1026630.0,1800,-1026630.0,0.0,0.0,0.0,0.0,
19719,NSEFO,35048,FUTIDX,NIFTY,20230125,0.0, ,0,0.0,18751.9,0.0,58,-100,1875190,-100,1875190,0.0,0.0,0.0,0.0,
19725,NSEFO,62808,FUTIDX,BANKNIFTY,20221229,0.0, ,0,0.0,43291.85,0.0,59,-25,1082296,-25,1082296,0.0,0.0,0.0,0.0,
6405,NSEFO,142109,OPTSTK,RELIANCE,20221229,2820.0,CE,0,0.0,9.25,0.0,60,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,142127,OPTSTK,RELIANCE,20221229,3000.0,CE,16250,-61862.5,2.9,0.0,61,-6250,18125.0,10000,-43737.5,0.0,0.0,43737.5,-61862.5,
6405,NSEFO,142097,OPTSTK,RELIANCE,20221229,2700.0,CE,250,-7675.0,31.95,0.0,62,-250,7987.5,0,312.5,0.0,0.0,-312.5,-7675.0,
6405,NSEFO,144092,OPTSTK,TATACOMM,20221229,1400.0,CE,-4000,40650.0,11.35,0.0,63,4000,-45400.0,0,-4750.0,0.0,0.0,4750.0,40650.0,
6405,NSEFO,144613,OPTSTK,TATAPOWER,20221229,220.0,PE,0,0.0,3.65,0.0,64,27000,-98550.0,27000,-98550.0,0.0,0.0,98550.0,0.0,
6405,NSEFO,143905,OPTSTK,TATACHEM,20221229,1100.0,CE,0,0.0,15.05,0.0,65,-2000,30100.0,-2000,30100.0,0.0,0.0,-30100.0,0.0,
6405,NSEFO,146037,OPTSTK,TITAN,20221229,2600.0,PE,0,0.0,54.15,0.0,66,-26625,1441743,-26625,1441743,0.0,0.0,-1441743.75,0.0,
6405,NSEFO,146056,OPTSTK,TITAN,20221229,2800.0,CE,0,0.0,14.35,0.0,67,-6000,86100.0,-6000,86100.0,0.0,0.0,-86100.0,0.0,
6405,NSEFO,151828,OPTSTK,VOLTAS,20221229,860.0,CE,0,0.0,15.85,0.0,68,500,-7925.0,500,-7925.0,0.0,0.0,7925.0,0.0,
6405,NSEFO,151829,OPTSTK,VOLTAS,20221229,860.0,PE,0,0.0,37.55,0.0,69,500,-18775.0,500,-18775.0,0.0,0.0,18775.0,0.0,
