UserID,Exchange,Token,instrument,symbol,expiry,strike,c/p,dayQty,dayValue,LTP,MTM,SerialNO,OpenQty,OpenAmt,netQty,NetValue,PrevDExpo_Mrg,PrevDSpan_Mrg,Total_Margin,Net_Prem,FUT_MTM,OPT_MTM,PRM_MRG,
14275,NSEFO,96716,OPTSTK,AMBUJACEM,20221229,590.00,CE,0,0.0,0,0,27,10800,-149580.0,10800,-149580.0,0.0,0.0,0.0,-149580.0,0.0,0.0,0.0,
14275,NSEFO,96720,OPTSTK,AMBUJACEM,20221229,600.00,CE,0,0.0,0,0,28,9000,-99900.0,9000,-99900.0,0.0,0.0,0.0,-99900.0,0.0,0.0,0.0,
14275,NSEFO,96732,OPTSTK,AMBUJACEM,20221229,630.00,CE,0,0.0,0,0,29,-28800,145440.0,-28800,145440.0,574912.8,0.0,574912.8,145440.0,0.0,0.0,0.0,
14275,NSEFO,96689,OPTSTK,AMBUJACEM,20221229,530.00,PE,0,0.0,0,0,30,-5400,33750.0,-5400,33750.0,107796.15,0.0,107796.15,33750.0,0.0,0.0,0.0,
14275,NSEFO,96703,OPTSTK,AMBUJACEM,20221229,560.00,PE,0,0.0,0,0,31,-3600,58139.99999999999,-3600,58139.99999999999,71864.1,0.0,71864.1,58139.99999999999,0.0,0.0,0.0,
14275,NSEFO,63834,FUTSTK,APOLLOTYRE,20221229, , ,0,0.0,0,0,32,10500,-3109050.0000000005,10500,-3109050.0000000005,108816.75,1159655,1268471,0.0,0.0,0.0,0.0,
14275,NSEFO,97282,OPTSTK,APOLLOTYRE,20221229,310.00,CE,0,0.0,0,0,33,-38500,196350.0,-38500,196350.0,398994.75,0.0,398994.75,196350.0,0.0,0.0,0.0,
14275,NSEFO,63858,FUTSTK,ASHOKLEY,20221229, , ,0,0.0,0,0,34,50000,-7497499.999999999,50000,-7497499.999999999,262412.5,1491500,1753912,0.0,0.0,0.0,0.0,
14275,NSEFO,97433,OPTSTK,ASHOKLEY,20221229,150.00,CE,0,0.0,0,0,35,10000,-48500.0,10000,-48500.0,0.0,0.0,0.0,-48500.0,0.0,0.0,0.0,
14275,NSEFO,97551,OPTSTK,ASHOKLEY,20221229,160.00,CE,0,0.0,0,0,36,-30000,49500.0,-30000,49500.0,157447.5,0.0,157447.5,49500.0,0.0,0.0,0.0,
14275,NSEFO,100454,OPTSTK,ATUL,20221229,8500.00,CE,0,0.0,0,0,37,-150,24532.5,-150,24532.5,43335.08,162057.0,205392.08,24532.5,0.0,0.0,0.0,
14275,NSEFO,63872,FUTSTK,AXISBANK,20221229, , ,0,0.0,0,0,38,710400,-635062080.0,710400,-635062080.0,22227172,109053588,131280760,0.0,0.0,0.0,0.0,
14275,NSEFO,104227,OPTSTK,AXISBANK,20221229,950.00,CE,0,0.0,0,0,39,-6000,29700.0,-6000,29700.0,187729.5,0.0,187729.5,29700.0,0.0,0.0,0.0,
14275,NSEFO,103921,OPTSTK,AXISBANK,20221229,800.00,PE,0,0.0,0,0,40,8400,-15120.0,8400,-15120.0,0.0,0.0,0.0,-15120.0,0.0,0.0,0.0,
14275,NSEFO,63874,FUTSTK,BAJAJFINSV,20221229, , ,0,0.0,0,0,41,-5000,8249000,-5000,8249000,288715.0,1547000,1835715,0.0,0.0,0.0,0.0,
14275,NSEFO,63875,FUTSTK,BAJFINANCE,20221229, , ,0,0.0,0,0,42,-6875,46811531,-6875,46811531,1638403,8165300,9803703,0.0,0.0,0.0,0.0,
14275,NSEFO,109749,OPTSTK,BAJFINANCE,20221229,6900.00,CE,0,0.0,0,0,43,500,-84800.0,500,-84800.0,0.0,0.0,0.0,-84800.0,0.0,0.0,0.0,
14275,NSEFO,63877,FUTSTK,BALRAMCHIN,20221229, , ,0,0.0,0,0,44,-24000,9111600,-24000,9111600,318906.0,2388576,2707482,0.0,0.0,0.0,0.0,
14275,NSEFO,110355,OPTSTK,BALRAMCHIN,20221229,430.00,CE,0,0.0,0,0,45,-3200,9120.0,-3200,9120.0,42520.8,0.0,42520.8,9120.0,0.0,0.0,0.0,
14275,NSEFO,63878,FUTSTK,BANDHANBNK,20221229, , ,0,0.0,0,0,46,-36000,7972200,-36000,7972200,279027.0,2122434,2401461,0.0,0.0,0.0,0.0,
14275,NSEFO,110411,OPTSTK,BANDHANBNK,20221229,240.00,CE,0,0.0,0,0,47,-3600,12780.0,-3600,12780.0,27902.7,0.0,27902.7,12780.0,0.0,0.0,0.0,
14275,NSEFO,110415,OPTSTK,BANDHANBNK,20221229,250.00,CE,0,0.0,0,0,48,-28800,61920.0,-28800,61920.0,223221.6,0.0,223221.6,61920.0,0.0,0.0,0.0,
14275,NSEFO,110423,OPTSTK,BANDHANBNK,20221229,260.00,CE,0,0.0,0,0,49,7200,-9360.0,7200,-9360.0,0.0,0.0,0.0,-9360.0,0.0,0.0,0.0,
14275,NSEFO,110427,OPTSTK,BANDHANBNK,20221229,270.00,CE,0,0.0,0,0,50,30600,-27540.0,30600,-27540.0,0.0,0.0,0.0,-27540.0,0.0,0.0,0.0,
14275,NSEFO,110396,OPTSTK,BANDHANBNK,20221229,200.00,PE,0,0.0,0,0,51,-1800,4680.0,-1800,4680.0,13951.35,0.0,13951.35,4680.0,0.0,0.0,0.0,
14275,NSEFO,110402,OPTSTK,BANDHANBNK,20221229,215.00,PE,0,0.0,0,0,52,-1800,12060.0,-1800,12060.0,13951.35,0.0,13951.35,12060.0,0.0,0.0,0.0,
14275,NSEFO,110412,OPTSTK,BANDHANBNK,20221229,240.00,PE,0,0.0,0,0,53,-1800,39600.0,-1800,39600.0,13951.35,0.0,13951.35,39600.0,0.0,0.0,0.0,
14275,NSEFO,110582,OPTSTK,BANKBARODA,20221229,162.50,PE,0,0.0,0,0,54,-5850,20767.5,-5850,20767.5,34715.38,168948.0,203663.38,20767.5,0.0,0.0,0.0,
14275,NSEFO,62808,FUTIDX,BANKNIFTY,20221229, , ,0,0.0,0,0,55,475,-20563628.75,475,-20563628.75,411272.58,29036.5,440309.08,0.0,0.0,0.0,0.0,
