UserID,Symbol,EXPO_Margin,SPAN_Margin,Total_Margin,FUT_MTM,OPT_MTM,FNO_MTM,PRM_MRG,
14275,PEL,418225,818482,1236708,0,0,0.0,0.0,
14275,PETRONET,21945,90180,112125,0,0,0.0,0.0,
14275,PNB,7443968,9552000,16995968,0,0,0.0,0.0,
14275,POLYCAB,160656,745410,906066,0,0,0.0,0.0,
14275,RAMCOCEM,78153,208896,287049,0,0,0.0,0.0,
14275,RBLBANK,997832,1889550,2887382,0,0,0.0,0.0,
14275,RECLTD,1435098,1581920,3017018,0,0,0.0,0.0,
14275,RELIANCE,687120,861689,1546847,0,0,0.0,-1962.5,
14275,SAIL,350070,2300400,2650470,0,0,0.0,0.0,
14275,SBIN,14413602,63743220,78156822,0,0,0.0,0.0,
14275,SIEMENS,481383,1241575,1722959,0,0,0.0,0.0,
14275,SRF,179447,318,179766,0,0,0.0,0.0,
14275,SRTRANSFIN,322597,1939752,2262349,0,0,0.0,0.0,
14275,SUNTV,688975,2446395,3135370,0,0,0.0,0.0,
14275,TATACHEM,343173,905260,1248433,0,0,0.0,0.0,
14275,TATACOMM,226826,347990,574816,0,0,0.0,0.0,
14275,TATACONSUM,223724,970866,1194590,0,0,0.0,0.0,
14275,TATAMOTORS,712993,72689,785682,0,0,0.0,0.0,
14275,TATAPOWER,2329519,7383217,9712737,0,0,0.0,0.0,
14275,TATASTEEL,126378,325847,452225,0,0,0.0,0.0,
14275,TCS,1699485,6967890,8667376,0,0,0.0,0.0,
14275,TECHM,90732,425640,516372,0,0,0.0,0.0,
14275,TITAN,5552533,20299323,25851857,0,0,0.0,0.0,
14275,TORNTPOWER,200838,476640,677478,0,0,0.0,0.0,
14275,TRENT,690595,1063988,1754584,0,0,0.0,0.0,
14275,TVSMOTOR,0,79814,79814,0,0,0.0,0.0,
14275,ULTRACEMCO,72177,298530,370707,0,0,0.0,0.0,
14275,UPL,106080,-57291,48789,0,0,0.0,0.0,
14275,VEDL,103037,210877,313914,0,0,0.0,0.0,
14275,VOLTAS,116116,390985,507101,0,0,0.0,0.0,
14275,WIPRO,380646,1482980,1863626,0,0,0.0,0.0,
14275,ZEEL,844347,1655310,2499657,0,0,0.0,0.0,
20001,ADANIPORTS,38482,113837,152320,0,0,0.0,0.0,
20001,MARUTI,568228,303251,905499,0,0,0.0,34020.0,
20001,SUNTV,25517,19725,45242,0,0,0.0,0.0,
20002,ADANIPORTS,38482,113837,152320,0,0,0.0,0.0,
20002,MARUTI,536660,301701,854631,0,0,0.0,16270.0,
20002,SUNTV,25517,19725,45242,0,0,0.0,0.0,
20004,ADANIPORTS,19241,45106,58410,0,0,0.0,-5937.5,
20004,MARUTI,157841,244168,421749,0,0,0.0,19740.0,
20004,SUNTV,25517,19725,45242,0,0,0.0,0.0,
20006,ADANIPORTS,38482,113837,152320,0,0,0.0,0.0,
20006,MARUTI,568228,302981,904959,0,0,0.0,33750.0,
20006,SUNTV,25517,19725,45242,0,0,0.0,0.0,
20007,RELIANCE,0,4100,7450,0,0,0.0,3350.0,
20008,RELIANCE,0,13350,23025,0,0,0.0,9675.0,
20011,RELIANCE,0,2925,5350,0,0,0.0,2425.0,
20014,MARUTI,157841,135551,308452,0,0,0.0,15060.0,
20014,RELIANCE,0,3000,5500,0,0,0.0,2500.0,
30008,INFY,17174,71244,88418,0,0,0.0,0.0,
30008,NIFTY,0,14280,14280,0,0,0.0,0.0,
30009,INFY,17174,71244,88418,0,0,0.0,0.0,
30504,GNFC,55255,185198,240453,0,0,0.0,0.0,
30504,GODREJPROP,43934,138401,182335,0,0,0.0,0.0,
30504,MCDOWELL-N,58363,150243,208607,0,0,0.0,0.0,
30504,PNB,960512,32320,992832,0,0,0.0,0.0,
30504,RECLTD,61068,202160,263228,0,0,0.0,0.0,
30505,L&TFH,27142,174642,201785,0,0,0.0,0.0,
30505,PEL,15782,43340,59122,0,0,0.0,0.0,
30505,RECLTD,274806,142319,417126,0,0,0.0,0.0,
30506,BANDHANBNK,55225,68544,123769,0,0,0.0,0.0,
30506,ICICIPRULI,94941,77955,172896,0,0,0.0,0.0,
30506,PNB,540288,671520,1513408,0,0,0.0,301600.0,
30518,IRCTC,44204,118895,163099,0,0,0.0,0.0,
30518,PNB,240128,-11520,228608,0,0,0.0,0.0,
30519,PNB,540288,480,540768,0,0,0.0,0.0,
30520,BEL,85505,385548,471053,0,0,0.0,0.0,
30520,IPCALAB,19770,86190,105960,0,0,0.0,0.0,
30520,PNB,600320,60640,660960,0,0,0.0,0.0,
30521,PNB,480256,-44960,435296,0,0,0.0,0.0,
30522,CHAMBLFERT,0,-194175,-296325,0,0,0.0,-102150.0,
30522,COALINDIA,0,97020,144480,0,0,0.0,47460.0,
30522,EICHERMOT,0,-164123,-250320,0,0,0.0,-86196.25,
30522,PNB,360192,17280,377472,0,0,0.0,0.0,
30522,TATAPOWER,26471,54405,78514,0,0,0.0,-2362.5,
30522,TORNTPOWER,0,-314475,-465450,0,0,0.0,-150975.0,
30525,PNB,180096,7840,187936,0,0,0.0,0.0,
30528,BANDHANBNK,13806,4950,18756,0,0,0.0,0.0,
30528,IDEA,0,21000,21000,0,0,0.0,0.0,
30528,IRCTC,22102,11418,33520,0,0,0.0,0.0,
30528,PNB,540288,104640,644928,0,0,0.0,0.0,
30528,TATAMOTORS,43211,102429,145640,0,0,0.0,0.0,
30529,PNB,1020544,-130240,890304,0,0,0.0,0.0,
30529,TATACHEM,36123,11100,45623,0,0,0.0,-1600.0,
30530,PNB,360192,12640,372832,0,0,0.0,0.0,
30531,AMARAJABAT,90510,175400,265910,0,0,0.0,0.0,
30531,ASHOKLEY,104125,598200,702325,0,0,0.0,0.0,
30531,BANDHANBNK,110451,39600,150051,0,0,0.0,0.0,
30531,BATAINDIA,131693,100292,231985,0,0,0.0,0.0,
30531,BIOCON,431548,200491,632039,0,0,0.0,0.0,
30531,IDEA,39445,197400,236845,0,0,0.0,0.0,
30531,IRCTC,66306,199622,265928,0,0,0.0,0.0,
30531,MARUTI,473523,242625,716148,0,0,0.0,0.0,
30531,NTPC,338651,177041,515693,0,0,0.0,0.0,
30531,PNB,1440768,-354240,942528,0,0,0.0,-144000.0,
30531,POLYCAB,0,39825,39825,0,0,0.0,0.0,
30531,TATAPOWER,132359,236182,368541,0,0,0.0,0.0,
30533,AMBUJACEM,0,-304920,-460260,0,0,0.0,-155340.0,
30533,ASHOKLEY,156187,897300,1053487,0,0,0.0,0.0,
30533,BANDHANBNK,110451,39600,150051,0,0,0.0,0.0,
30533,BEL,470281,133152,567523,0,0,0.0,-35910.0,
30533,BIOCON,272556,76636,349192,0,0,0.0,0.0,
30533,COROMANDEL,45097,204862,249959,0,0,0.0,0.0,
30533,GODREJPROP,73223,200014,273238,0,0,0.0,0.0,
30533,IDEA,39445,197400,236845,0,0,0.0,0.0,
