ClientCode,Symbol,EXPO_Margin,SPAN_Margin,Total_Margin,FUT_MTM,OPT_MTM,FNO_MTM,PRM_MRG,
6405,ICICIPRULI,545910,3547140,4011975,0,0,0,-81075,
6405,IDEA,78890,-165200,-86309,0,0,0,0,
6405,IDFC,0,0,0,0,0,0,0,
6405,IDFCFIRSTB,30476,190350,220826,0,0,0,0,
6405,IEX,1440540,2677162,5093265,0,0,0,975562,
6405,INDHOTEL,45327,-4424,45126,0,0,0,4223,
6405,INDIACEM,293477,752028,1212980,0,0,0,167475,
6405,INDUSINDBK,74787,-12559,293370,0,0,0,231142,
6405,INFY,1236551,4480707,5650598,0,0,0,-66660,
6405,INTELLECT,361142,2737350,3109217,0,0,0,10725,
6405,IOC,75092,-58792,-121175,0,0,0,-137475,
6405,IPCALAB,19770,86190,105960,0,0,0,0,
6405,IRCTC,884082,-176758,584123,0,0,0,-123200,
6405,ITC,114340,334096,459236,0,0,0,10800,
6405,JKCEMENT,0,-100,-200,0,0,0,-100,
6405,JUBLFOOD,24335,14150,38485,0,0,0,0,
6405,KOTAKBANK,485956,2023343,2509300,0,0,0,0,
6405,L&TFH,1221405,2197981,4041835,0,0,0,622448,
6405,LAURUSLABS,0,0,0,0,0,0,0,
6405,LICHSGFIN,0,7700,37900,0,0,0,30200,
6405,LT,151612,45,163867,0,0,0,12210,
6405,LTI,544447,3116740,3655113,0,0,0,-6075,
6405,LTTS,81602,323946,405548,0,0,0,0,
6405,M&M,0,1575,27300,0,0,0,25725,
6405,M&MFIN,0,2000,-61600,0,0,0,-63600,
6405,MARUTI,11080455,13193900,24703455,0,0,0,429100,
6405,MCDOWELL-N,116727,47962,146470,0,0,0,-18218,
6405,MCX,0,0,0,0,0,0,0,
6405,MFSL,0,135915,376642,0,0,0,240727,
6405,MPHASIS,0,0,0,0,0,0,0,
6405,MRF,346132,279630,629452,0,0,0,3690,
6405,NAUKRI,69205,427620,463850,0,0,0,-32975,
6405,NESTLEIND,54682,225931,280613,0,0,0,0,
6405,NIFTY,53168618,29264837,83850155,0,0,0,1416700,
6405,NMDC,97094,455198,582275,0,0,0,29982,
6405,NTPC,338651,447791,786443,0,0,0,0,
6405,ONGC,56817,325710,382527,0,0,0,0,
6405,PAGEIND,297570,387309,684169,0,0,0,-710,
6405,PEL,31564,-32279,2928,0,0,0,3643,
6405,PETRONET,0,0,0,0,0,0,0,
6405,PFC,88861,-127410,-279108,0,0,0,-240560,
6405,PNB,19030144,20228480,40325024,0,0,0,1066400,
6405,POLYCAB,26776,-185286,-537769,0,0,0,-379260,
6405,POWERGRID,0,-1350,-2700,0,0,0,-1350,
6405,PVR,26581,-20716,-36463,0,0,0,-42328,
6405,RAMCOCEM,39076,200974,91045,0,0,0,-149005,
6405,RBLBANK,577692,60700,377142,0,0,0,-261250,
6405,RECLTD,427476,126880,651556,0,0,0,97200,
6405,RELIANCE,22904,152412,190804,0,0,0,15487,
6405,SAIL,350070,2307600,2657670,0,0,0,0,
6405,SBIN,14987595,65701110,80688705,0,0,0,0,
6405,SIEMENS,213948,686521,900469,0,0,0,0,
6405,SRF,269171,315828,681731,0,0,0,96731,
6405,SRTRANSFIN,349480,1931256,2300476,0,0,0,19740,
6405,SUNTV,842081,3487125,4329206,0,0,0,0,
6405,TATACHEM,234802,647695,837172,0,0,0,-45325,
6405,TATACOMM,0,-4750,35900,0,0,0,40650,
6405,TATACONSUM,223724,978930,1205939,0,0,0,3285,
6405,TATAMOTORS,799416,587142,1426031,0,0,0,39472,
6405,TATAPOWER,476492,295785,486077,0,0,0,-286200,
6405,TATASTEEL,142175,310590,450640,0,0,0,-2125,
6405,TCS,1824055,7310571,9134627,0,0,0,0,
6405,TECHM,90732,421080,486252,0,0,0,-25560,
6405,TITAN,11173197,34997985,46171182,0,0,0,0,
6405,TORNTPOWER,286912,573465,709402,0,0,0,-150975,
6405,TRENT,109041,-53947,102617,0,0,0,47523,
6405,TVSMOTOR,152505,323932,476437,0,0,0,0,
6405,ULTRACEMCO,72177,300039,372216,0,0,0,0,
6405,UPL,141441,-1560,139881,0,0,0,0,
6405,VEDL,51518,16414,67933,0,0,0,0,
6405,VOLTAS,101601,348365,449966,0,0,0,0,
6405,WIPRO,422940,1459760,1888800,0,0,0,6100,
6405,ZEEL,54474,-29580,24894,0,0,0,0,
A0017,ACC,43876,198785,242661,0,0,0,0,
A0017,ASHOKLEY,52062,300200,352262,0,0,0,0,
A0017,BATAINDIA,65846,284372,350218,0,0,0,0,
A0017,BERGEPAINT,94971,388960,483931,0,0,0,0,
A0017,BHARATFORG,59293,322160,381453,0,0,0,0,
A0017,BIOCON,45426,229402,274828,0,0,0,0,
A0017,CHOLAFIN,220729,1380050,1600779,0,0,0,0,
A0017,CONCOR,53406,286920,340326,0,0,0,0,
A0017,CUMMINSIND,28964,129282,158246,0,0,0,0,
A0017,GNFC,138138,1062165,1200303,0,0,0,0,
A0017,HDFCLIFE,90336,393360,483696,0,0,0,0,
A0017,INDHOTEL,90655,535569,626225,0,0,0,0,
A0017,IRCTC,44204,279877,324081,0,0,0,0,
A0017,PETRONET,109725,453150,562875,0,0,0,0,
A0017,SIEMENS,26743,112813,139556,0,0,0,0,
A0017,SYNGENE,42612,196900,239512,0,0,0,0,
