KL002,0.00,1700.00,1700.00,0.00,5525.00,
KS117,340378.50,1451890.00,1792268.50,-253750.00,0.00,
KS126,19140.98,83754.00,102894.98,-11340.00,0.00,
KS145,46528.30,234324.00,280852.30,22500.00,0.00,
KS150,59968.12,220125.00,280093.12,11625.00,0.00,
KU025,0.00,-187.75,-187.75,0.00,-115.00,
M0225,0.00,0.00,0.00,0.00,0.00,
MA007,0.00,4976.25,4976.25,0.00,2278.75,
MA026,0.00,9075.00,9075.00,0.00,3065.00,
MAL01018,0.00,5690.00,5690.00,0.00,4260.00,
MAL01028,0.00,0.00,0.00,0.00,0.00,
MAL10002,29778.00,109965.00,139743.00,-650.00,0.00,
MAL19010,103812.69,169493.18,273305.87,0.00,-2140.00,
MALZG008,0.00,7237.50,7237.50,0.00,7410.00,
MALZV020,0.00,-156.25,-156.25,0.00,0.00,
MAS05019,600577.88,2368397.50,2968975.38,171552.50,0.00,
MAS05045,43299.90,204822.00,248121.90,14850.00,0.00,
MAS09029,0.00,0.00,0.00,0.00,0.00,
MAS15082,43299.90,204822.00,248121.90,14850.00,0.00,
MAS15090,0.00,0.00,0.00,0.00,0.00,
MAS44001,0.00,-1885.00,-1885.00,0.00,0.00,
MAS44002,20454.88,22100.00,42554.88,0.00,0.00,
MAS44011,43353.01,225286.00,268639.01,63705.00,0.00,
MAS44020,27838.39,126346.00,154184.39,45430.00,0.00,
MAS44021,38339.00,325260.00,363599.00,14400.00,0.00,
MAS44037,21002.62,146938.75,167941.38,0.00,0.00,
MAS44050,66297.66,167265.00,233562.66,-4050.00,0.00,
MASXA003,97869.57,651833.00,749702.57,77401.25,0.00,
MASYC007,80381.70,307373.00,387754.70,7290.00,0.00,
MASYU001,0.00,0.00,0.00,0.00,0.00,
MASYV050,0.00,19605.00,19605.00,0.00,17735.00,
MB1337,0.00,75757.50,75757.50,0.00,23850.00,
MB571,0.00,6615.00,6615.00,0.00,8120.00,
MHM01045,443621.20,2439306.34,2882927.54,99647.50,0.00,
MHM01105,0.00,93967.50,93967.50,0.00,72890.00,
MHM01179,43474.20,212712.00,256186.20,57600.00,0.00,
MHM01213,859297.22,5707399.84,6566697.05,-476160.00,0.00,
MHMZB081,0.00,-1887.50,-1887.50,0.00,0.00,
MHMZJ003,0.00,-396.00,-396.00,0.00,0.00,
MK027,0.00,14917.50,14917.50,0.00,0.00,
MM650,31311.53,141840.00,173151.53,35985.00,0.00,
MM681,46967.29,212760.00,259727.29,53977.50,0.00,
MM736,31311.53,141840.00,173151.53,35985.00,0.00,
MM835,1346128.57,5163455.00,6509583.58,-55990.00,545000.00,
MMM12002,0.00,-256.50,-256.50,0.00,0.00,
MNTZH002,0.00,-11203.25,-11203.25,0.00,4395.00,
MNTZM002,0.00,-1890.00,-1890.00,0.00,-3500.00,
MTJ01010,0.00,-24140.00,-24140.00,0.00,-21842.50,
MU1TJPP001,392857.33,935843.00,1328700.32,94875.00,-37650.00,
NA313,0.00,0.00,0.00,0.00,0.00,
NRD001,0.00,-3240.00,-3240.00,0.00,0.00,
NRD009,0.00,-3240.00,-3240.00,0.00,0.00,
NRD010,0.00,-1620.00,-1620.00,0.00,0.00,
NRD014,0.00,-1620.00,-1620.00,0.00,0.00,
PKR020,19364.63,105807.00,125171.62,0.00,0.00,
PKR027,23025.80,99920.00,122945.80,0.00,0.00,
PN004,0.00,-4500.00,-4500.00,0.00,0.00,
RJ02006,13762.28,88242.50,102004.77,15755.00,0.00,
RJ02011,15801.39,130278.00,146079.39,10930.00,0.00,
RJ027022,0.00,0.00,0.00,0.00,0.00,
RJ029005,15801.39,129527.50,145328.89,-10930.00,0.00,
RJ06016,13762.28,88242.50,102004.77,15755.00,0.00,
RJ06022,0.00,0.00,0.00,0.00,0.00,
SKB015,15801.39,129527.50,145328.89,-10930.00,0.00,
SKB041,15801.39,129527.50,145328.89,-10930.00,0.00,
SSM101,112137.32,582094.75,694232.07,10930.00,17197.50,
SSM135,39778.59,310.00,40088.59,0.00,0.00,
SSM171,266969.79,39213.50,306183.29,0.00,-9845.00,
SSM234,0.00,38730.00,38730.00,0.00,0.00,
SSS014,15801.39,48601.23,64402.62,10930.00,-36.25,
SSY333,0.00,25585.00,25585.00,0.00,0.00,
TG0121,0.00,1248.75,1248.75,0.00,8122.50,
TG0321,82573.65,-6484.50,76089.15,0.00,0.00,
V01037,0.00,0.00,0.00,0.00,0.00,
V03036,0.00,0.00,0.00,0.00,0.00,
V11020,0.00,20863.75,20863.75,0.00,-1940.00,
V18034,0.00,4280.00,4280.00,0.00,6075.00,
V20015,0.00,-6300.00,-6300.00,0.00,0.00,
V22061,0.00,918.75,918.75,0.00,2275.00,
V24018,0.00,205.00,205.00,0.00,0.00,
V25009,0.00,-8351.25,-8351.25,0.00,0.00,
V27002,0.00,5625.00,5625.00,0.00,3805.00,
VJ417,16074.45,81549.00,97623.45,0.00,0.00,
VRM004,0.00,9182.50,9182.50,0.00,2100.00,
VRM148,150115.18,1051932.00,1202047.18,144045.00,0.00,
ZH035,70093.80,385704.00,455797.80,0.00,0.00,
ZH036,105140.70,578556.00,683696.70,0.00,0.00,
ZH043,105140.70,578556.00,683696.70,0.00,0.00,
ZH079,105140.70,578556.00,683696.70,0.00,0.00,
