14275,OPTSTK,APOLLOTYRE,20221229,320.00,CE,EO CE APOLLOTYRE 29Dec22 320.0000,21000,315.3,6621300,0,0,0,0
14275,OPTSTK,APOLLOTYRE,20221229,330.00,CE,EO CE APOLLOTYRE 29Dec22 330.0000,31500,315.3,9931950,0,0,0,0
14275,OPTSTK,APOLLOTYRE,20221229,335.00,CE,EO CE APOLLOTYRE 29Dec22 335.0000,-10500,315.3,3310650,115872.75,0,115872.75,3.5
14275,OPTSTK,APOLLOTYRE,20221229,340.00,CE,EO CE APOLLOTYRE 29Dec22 340.0000,-14000,315.3,4414200,154497,0,154497,3.5
14275,OPTSTK,APOLLOTYRE,20221229,350.00,CE,EO CE APOLLOTYRE 29Dec22 350.0000,-66500,315.3,20967450,733860.75,0,733860.75,3.5
14275,OPTSTK,APOLLOTYRE,20221229,290.00,PE,EO PE APOLLOTYRE 29Dec22 290.0000,-3500,315.3,1103550,38624.25,0,38624.25,3.5
14275,OPTSTK,APOLLOTYRE,20221229,300.00,PE,EO PE APOLLOTYRE 29Dec22 300.0000,3500,315.3,1103550,0,0,0,0
14275,FUTSTK,ASHOKLEY,20221229, , ,EF ASHOKLEY 29Dec22,50000,151.3,7565000,264775,1500500,1765275,23.33
14275,OPTSTK,ASHOKLEY,20221229,175.00,CE,EO CE ASHOKLEY 29Dec22 175.0000,-50000,151.3,7565000,264775,0,264775,3.5
14275,FUTSTK,ASIANPAINT,20221229, , ,EF ASIANPAINT 29Dec22,200,3172.75,634550,22209.25,1185552,1207761.25,190.33
14275,OPTSTK,ASIANPAINT,20221229,3300.00,CE,EO CE ASIANPAINT 29Dec22 3300.0000,-1000,3172.75,3172750,111046.25,0,111046.25,3.5
14275,OPTSTK,ASIANPAINT,20221229,3400.00,CE,EO CE ASIANPAINT 29Dec22 3400.0000,-1000,3172.75,3172750,111046.25,0,111046.25,3.5
14275,OPTSTK,ASIANPAINT,20221229,3500.00,CE,EO CE ASIANPAINT 29Dec22 3500.0000,-3000,3172.75,9518250,333138.75,0,333138.75,3.5
14275,OPTSTK,ASIANPAINT,20221229,3000.00,PE,EO PE ASIANPAINT 29Dec22 3000.0000,-200,3172.75,634550,22209.25,0,22209.25,3.5
