ARIHANT ,,,,,,,,,
46:Exposure Margin Report ,,,,,,,,,
Trade Date:23/09/2022 Exposure:3.50 Report Date:23/09/2022 ,,,,,,,,,
CLIENT_ID,Scrip,Net Qty,Cl.Price,Cl.Amt,Exposure Mrg,Span Mrg,Total Margin,% Margin,
14275,EO PE ADANIENT 29Sep22 3200.0000,-500,3670.6,1835300,64235.5,0,64235.5,3.5,
14275,EO PE ADANIENT 29Sep22 3300.0000,2000,3670.6,7341200,0,0,0,0,
14275,EO PE ADANIENT 29Sep22 3400.0000,-1500,3670.6,5505900,192706.5,0,192706.5,3.5,
14275,EO PE ADANIENT 29Sep22 3450.0000,-500,3670.6,1835300,64235.5,0,64235.5,3.5,
14275,EO PE ADANIENT 29Sep22 3500.0000,-10500,3670.6,38541300,1348945.5,0,1348945.5,3.5,
14275,EO PE ADANIENT 29Sep22 3550.0000,-1000,3670.6,3670600,128471,0,128471,3.5,
14275,EO PE ADANIENT 29Sep22 3600.0000,-2500,3670.6,9176500,321177.5,0,321177.5,3.5,
14275,EO PE ADANIENT 29Sep22 3650.0000,1000,3670.6,3670600,0,0,0,0,
14275,EO PE ADANIENT 29Sep22 3700.0000,-3500,3670.6,12847100,449648.5,0,449648.5,3.5,
14275,EO PE ADANIENT 29Sep22 3800.0000,2000,3670.6,7341200,0,0,0,0,
14275,EF ADANIPORTS 29Sep22,-55000,915.15,50333250,9311651.25,12604800,21916451.25,43.54,
14275,EO CE ADANIPORTS 29Sep22 1000.0000,3750,915.15,3431813,0,0,0,0,
14275,EO CE ADANIPORTS 29Sep22 800.0000,-20000,915.15,18303000,3386055,0,3386055,18.5,
14275,EO CE ADANIPORTS 29Sep22 850.0000,7500,915.15,6863625,0,0,0,0,
14275,EO CE ADANIPORTS 29Sep22 880.0000,1250,915.15,1143938,0,0,0,0,
14275,EO CE ADANIPORTS 29Sep22 900.0000,3750,915.15,3431813,0,0,0,0,
14275,EO CE ADANIPORTS 29Sep22 950.0000,-2500,915.15,2287875,423256.88,0,423256.88,18.5,
14275,EO CE ADANIPORTS 29Sep22 980.0000,2500,915.15,2287875,0,0,0,0,
14275,EO PE ADANIPORTS 27Oct22 700.0000,2500,920.45,2301125,0,0,0,0,
14275,EO PE ADANIPORTS 29Sep22 760.0000,3750,915.15,3431813,0,0,0,0,
14275,EO PE ADANIPORTS 29Sep22 770.0000,1250,915.15,1143938,0,0,0,0,
14275,EO PE ADANIPORTS 29Sep22 800.0000,3750,915.15,3431813,0,0,0,0,
14275,EO PE ADANIPORTS 29Sep22 830.0000,-20000,915.15,18303000,3386055,0,3386055,18.5,
14275,EO PE ADANIPORTS 29Sep22 900.0000,3750,915.15,3431813,0,0,0,0,
14275,EO PE ADANIPORTS 29Sep22 920.0000,-3750,915.15,3431813,634885.41,0,634885.41,18.5,
14275,EO PE ADANIPORTS 29Sep22 960.0000,10000,915.15,9151500,0,0,0,0,
14275,EF AMBUJACEM 27Oct22,-10800,543.1,5865480,615875.4,0,615875.4,10.5,
14275,EF AMBUJACEM 29Sep22,-142200,540.45,76851990,8069458.95,31244752.8,39314211.75,51.16,
14275,EO CE AMBUJACEM 27Oct22 550.0000,7200,543.1,3910320,0,0,0,0,
14275,EO CE AMBUJACEM 27Oct22 570.0000,14400,543.1,7820640,0,0,0,0,
14275,EO CE AMBUJACEM 27Oct22 580.0000,21600,543.1,11730960,0,0,0,0,
14275,EO CE AMBUJACEM 27Oct22 600.0000,16200,543.1,8798220,0,0,0,0,
